Winner,Client,Survey,Region,Won/Lost,Bid Submitted,Total Direct Cost,Total Revenue, GP$ ,GM%,Bid_Node_Type,Bid_Node_Count,Bid_Duration,Daily Overhead,Total Overhead,Daily Depreciation,Total Depreciation,EBIT$,EBIT%,EBIT$/Day,Taxes,Net $,Net %,Net/Day
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Bid_Node_Type,,,,,,,,,,,,,,,,,,,,,,,
ZXPLR,,,,,,,,,,,,,,,,,,,,,,,
Z700,,,,,,,,,,,,,,,,,,,,,,,
ZXPLR,,,,,,,,,,,,,,,,,,,,,,,
ZXPLR,,,,,,,,,,,,,,,,,,,,,,,
MASS,,,,,,,,,,,,,,,,,,,,,,,
ZXPLR,,,,,,,,,,,,,,,,,,,,,,,
MASS,,,,,,,,,,,,,,,,,,,,,,,
ZXPLR,,,,,,,,,,,,,,,,,,,,,,,
MASS,,,,,,,,,,,,,,,,,,,,,,,
MASS,,,,,,,,,,,,,,,,,,,,,,,
ZXPLR,,,,,,,,,,,,,,,,,,,,,,,
MASS,,,,,,,,,,,,,,,,,,,,,,,
Z700,,,,,,,,,,,,,,,,,,,,,,,
n/a,,,,,,,,,,,,,,,,,,,,,,,
ZXPLR,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Bid_Node_Type,,,,,,,,,,,,,,,,,,,,,,,
Z700,,,,,,,,,,,,,,,,,,,,,,,
Z700,,,,,,,,,,,,,,,,,,,,,,,
Z700,,,,,,,,,,,,,,,,,,,,,,,
MASS,,,,,,,,,,,,,,,,,,,,,,,
ZXPLR,,,,,,,,,,,,,,,,,,,,,,,
ZXPLR,,,,,,,,,,,,,,,,,,,,,,,
ZXPLR,,,,,,,,,,,,,,,,,,,,,,,
Z700,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Bid_Node_Type,,,,,,,,,,,,,,,,,,,,,,,
ZXPLR,,,,,,,,,,,,,,,,,,,,,,,
Z700,,,,,,,,,,,,,,,,,,,,,,,
Z700,,,,,,,,,,,,,,,,,,,,,,,
ZXPLR,,,,,,,,,,,,,,,,,,,,,,,
Z700,,,,,,,,,,,,,,,,,,,,,,,
MASS,,,,,,,,,,,,,,,,,,,,,,,
Z700,,,,,,,,,,,,,,,,,,,,,,,
MASS,,,,,,,,,,,,,,,,,,,,,,,
MASS,,,,,,,,,,,,,,,,,,,,,,,
MASS,,,,,,,,,,,,,,,,,,,,,,,
ZXPLR,,,,,,,,,,,,,,,,,,,,,,,
ZXPLR,,,,,,,,,,,,,,,,,,,,,,,
MASS,,,,,,,,,,,,,,,,,,,,,,,
